term,stem,count,sample_size,ratio
"brexit","brexit",182,2000,0.091
"eu","eu",181,2000,0.0905
"uk","uk",124,2000,0.062
"britain","britain",75,2000,0.0375
"election","elect",74,2000,0.037
"minister","minist",74,2000,0.037
"european","european",72,2000,0.036
"theresa","theresa",58,2000,0.029
"trump","trump",47,2000,0.0235
"tory","tori",43,2000,0.0215
"conservative","conserv",43,2000,0.0215
"british","british",42,2000,0.021
"london","london",41,2000,0.0205
"europe","europ",37,2000,0.0185
"referendum","referendum",36,2000,0.018
"campaign","campaign",35,2000,0.0175
"economic","econom",35,2000,0.0175
"economy","economi",35,2000,0.0175
"tax","tax",30,2000,0.015
"parliament","parliament",29,2000,0.0145
"poll","poll",29,2000,0.0145
"corbyn","corbyn",28,2000,0.014
"negotiating","negoti",27,2000,0.0135
"ireland","ireland",26,2000,0.013
"talks","talk",24,2000,0.012
"may's","may",24,2000,0.012
"cet","cet",23,2000,0.0115
"mps","mps",23,2000,0.0115
"johnson","johnson",23,2000,0.0115
"brussels","brussel",23,2000,0.0115
"united","unit",22,2000,0.011
"democratic","democrat",22,2000,0.011
"immigration","immigr",21,2000,0.0105
"global","global",21,2000,0.0105
"davis","davi",21,2000,0.0105
"david","david",20,2000,0.01
"agreement","agreement",20,2000,0.01
"french","french",20,2000,0.01
"independent","independ",20,2000,0.01
"bbc","bbc",19,2000,0.0095
"cabinet","cabinet",19,2000,0.0095
"german","german",18,2000,0.009
"jeremy","jeremi",18,2000,0.009
"northern","northern",18,2000,0.009
"leader","leader",18,2000,0.009
"lord","lord",17,2000,0.0085
"customs","custom",17,2000,0.0085
"media","media",17,2000,0.0085
"boris","bori",17,2000,0.0085
"france","franc",16,2000,0.008
"mp","mp",16,2000,0.008
"sector","sector",16,2000,0.008
"ukip","ukip",15,2000,0.0075
"funding","fund",14,2000,0.007
"programme","programm",14,2000,0.007
"england","england",14,2000,0.007
"inflation","inflat",14,2000,0.007
"scotland","scotland",13,2000,0.0065
"pensions","pension",13,2000,0.0065
"bloc","bloc",13,2000,0.0065
"macron","macron",13,2000,0.0065
"donald","donald",13,2000,0.0065
"commitments","commit",13,2000,0.0065
"deliver","deliv",12,2000,0.006
"chancellor","chancellor",12,2000,0.006
"predicted","predict",11,2000,0.0055
"centre","centr",11,2000,0.0055
"irish","irish",11,2000,0.0055
"commission","commiss",11,2000,0.0055
"pen","pen",11,2000,0.0055
"debt","debt",11,2000,0.0055
"merkel","merkel",11,2000,0.0055
"exit","exit",11,2000,0.0055
"investors","investor",11,2000,0.0055
"country's","countri",11,2000,0.0055
"crisis","crisi",11,2000,0.0055
"withdraw","withdraw",11,2000,0.0055
"freedom","freedom",10,2000,0.005
"facebook","facebook",10,2000,0.005
"commons","common",10,2000,0.005
"education","educ",10,2000,0.005
"ensure","ensur",10,2000,0.005
"farage","farag",10,2000,0.005
"cameron","cameron",10,2000,0.005
"dem","dem",10,2000,0.005
"germany","germani",10,2000,0.005
"le","le",10,2000,0.005
"photo","photo",10,2000,0.005
"nigel","nigel",9,2000,0.0045
"presidential","presidenti",9,2000,0.0045
"risks","risk",9,2000,0.0045
"favour","favour",9,2000,0.0045
"scottish","scottish",9,2000,0.0045
"seats","seat",9,2000,0.0045
"labour's","labour",9,2000,0.0045
"lib","lib",9,2000,0.0045
"joining","join",9,2000,0.0045
"recruitment","recruit",9,2000,0.0045
"supporters","support",9,2000,0.0045
"tweeted","tweet",9,2000,0.0045
"manifesto","manifesto",9,2000,0.0045
"pledges","pledg",9,2000,0.0045
"flag","flag",9,2000,0.0045
"pa","pa",9,2000,0.0045
"euro","euro",9,2000,0.0045
"itunes","itun",9,2000,0.0045
"westminster","westminst",9,2000,0.0045
"hike","hike",8,2000,0.004
"john","john",8,2000,0.004
"options","option",8,2000,0.004
"challenges","challeng",8,2000,0.004
"elite","elit",8,2000,0.004
"nations","nation",8,2000,0.004
"george","georg",8,2000,0.004
"regulator","regul",8,2000,0.004
"hammond","hammond",8,2000,0.004
"snp","snp",8,2000,0.004
"currency","currenc",8,2000,0.004
"year's","year",8,2000,0.004
"uncertainty","uncertainti",8,2000,0.004
"nhs","nhs",8,2000,0.004
"getty","getti",8,2000,0.004
"party's","parti",8,2000,0.004
"triggered","trigger",8,2000,0.004
"pictured","pictur",8,2000,0.004
"guardian","guardian",8,2000,0.004
"electoral","elector",8,2000,0.004
"america","america",8,2000,0.004
"ambition","ambit",7,2000,0.0035
"updated","updat",7,2000,0.0035
"targets","target",7,2000,0.0035
"government's","govern",7,2000,0.0035
"climate","climat",7,2000,0.0035
"blair","blair",7,2000,0.0035
"ballot","ballot",7,2000,0.0035
"carney","carney",7,2000,0.0035
"michael","michael",7,2000,0.0035
"document","document",7,2000,0.0035
"wales","wale",7,2000,0.0035
"dup","dup",7,2000,0.0035
"reuters","reuter",7,2000,0.0035
"divisions","divis",7,2000,0.0035
"tim","tim",7,2000,0.0035
"institute","institut",7,2000,0.0035
"william","william",7,2000,0.0035
"syria","syria",7,2000,0.0035
"child","child",7,2000,0.0035
"strength","strength",7,2000,0.0035
"morgan","morgan",7,2000,0.0035
"terrorist","terrorist",7,2000,0.0035
"angela","angela",6,2000,0.003
"twitter","twitter",6,2000,0.003
"environmental","environment",6,2000,0.003
"barnier","barnier",6,2000,0.003
"meps","mep",6,2000,0.003
"remainers","remain",6,2000,0.003
"editing","edit",6,2000,0.003
"values","valu",6,2000,0.003
"potentially","potenti",6,2000,0.003
"paul","paul",6,2000,0.003
"leaked","leak",6,2000,0.003
"consumers","consum",6,2000,0.003
"bst","bst",6,2000,0.003
"headlines","headlin",6,2000,0.003
"reforms","reform",6,2000,0.003
"forde","ford",6,2000,0.003
"analysts","analyst",6,2000,0.003
"cooperation","cooper",6,2000,0.003
"matt","matt",6,2000,0.003
"centrist","centrist",6,2000,0.003
"huffpost","huffpost",6,2000,0.003
"realise","realis",6,2000,0.003
"emmanuel","emmanuel",6,2000,0.003
"people's","peopl",6,2000,0.003
"implementation","implement",6,2000,0.003
"kate","kate",6,2000,0.003
"presidents","presid",6,2000,0.003
"imports","import",6,2000,0.003
"treasury","treasuri",6,2000,0.003
"english","english",6,2000,0.003
"italy","itali",6,2000,0.003
"eur","eur",6,2000,0.003
"reporting","report",6,2000,0.003
"warns","warn",6,2000,0.003
"tony","toni",6,2000,0.003
"post-brexit","post-brexit",6,2000,0.003
"employers","employ",6,2000,0.003
"sturgeon","sturgeon",6,2000,0.003
"stance","stanc",6,2000,0.003
"michel","michel",6,2000,0.003
"cambridge","cambridg",6,2000,0.003
"sir","sir",6,2000,0.003
"eurosceptics","euroscept",6,2000,0.003
"hospital","hospit",5,2000,0.0025
"parliamentary","parliamentari",5,2000,0.0025
"alan","alan",5,2000,0.0025
"frankfurt","frankfurt",5,2000,0.0025
"children","children",5,2000,0.0025
"christmas","christma",5,2000,0.0025
"corporation","corpor",5,2000,0.0025
"gmt","gmt",5,2000,0.0025
"backbenchers","backbench",5,2000,0.0025
"industries","industri",5,2000,0.0025
"ounce","ounc",5,2000,0.0025
"victory","victori",5,2000,0.0025
"paris","pari",5,2000,0.0025
"pushing","push",5,2000,0.0025
"gove","gove",5,2000,0.0025
"banking","bank",5,2000,0.0025
"adonis","adoni",5,2000,0.0025
"greece","greec",5,2000,0.0025
"shadow","shadow",5,2000,0.0025
"nationalist","nationalist",5,2000,0.0025
"juncker","juncker",5,2000,0.0025
"emerging","emerg",5,2000,0.0025
"retail","retail",5,2000,0.0025
"norway","norway",5,2000,0.0025
"duchess","duchess",5,2000,0.0025
"florence","florenc",5,2000,0.0025
"spokesman","spokesman",5,2000,0.0025
"honour","honour",5,2000,0.0025
"populism","popul",5,2000,0.0025
"mayor","mayor",5,2000,0.0025
"ban","ban",5,2000,0.0025
"charles","charl",5,2000,0.0025
"tech","tech",5,2000,0.0025
"turnout","turnout",5,2000,0.0025
"republican","republican",5,2000,0.0025
"summit","summit",5,2000,0.0025
"ratings","rate",5,2000,0.0025
"zone","zone",5,2000,0.0025
"positioning","posit",5,2000,0.0025
"borrowed","borrow",5,2000,0.0025
"students","student",5,2000,0.0025
"scandal","scandal",5,2000,0.0025
"judging","judg",5,2000,0.0025
"capitals","capit",5,2000,0.0025
"ceo","ceo",5,2000,0.0025
"highlighted","highlight",5,2000,0.0025
"fundamental","fundament",5,2000,0.0025
"collapse","collaps",5,2000,0.0025
"export","export",5,2000,0.0025
"threats","threat",5,2000,0.0025
"trades","trade",5,2000,0.0025
"telegraph","telegraph",5,2000,0.0025
"violence","violenc",5,2000,0.0025
"american","american",5,2000,0.0025
"russian","russian",5,2000,0.0025
"de","de",5,2000,0.0025
"stability","stabil",5,2000,0.0025
"rejection","reject",5,2000,0.0025
"scenario","scenario",5,2000,0.0025
"washington","washington",5,2000,0.0025
"marr","marr",5,2000,0.0025
"partnership","partnership",5,2000,0.0025
"foundation","foundat",5,2000,0.0025
"abuse","abus",5,2000,0.0025
"thrive","thrive",4,2000,0.002
"1.8","1.8",4,2000,0.002
"sustained","sustain",4,2000,0.002
"airline","airlin",4,2000,0.002
"world's","world",4,2000,0.002
"britons","briton",4,2000,0.002
"fox","fox",4,2000,0.002
"deficit","deficit",4,2000,0.002
"innovator","innov",4,2000,0.002
"compares","compar",4,2000,0.002
"snap","snap",4,2000,0.002
"ian","ian",4,2000,0.002
"populists","populist",4,2000,0.002
"osborne","osborn",4,2000,0.002
"pollsters","pollster",4,2000,0.002
"borders","border",4,2000,0.002
"inequality","inequ",4,2000,0.002
"eu27","eu27",4,2000,0.002
"china","china",4,2000,0.002
"deserves","deserv",4,2000,0.002
"spain","spain",4,2000,0.002
"tv","tv",4,2000,0.002
"shifting","shift",4,2000,0.002
"actors","actor",4,2000,0.002
"accounting","account",4,2000,0.002
"reversed","revers",4,2000,0.002
"tusk","tusk",4,2000,0.002
"crime","crime",4,2000,0.002
"defended","defend",4,2000,0.002
